================ Training Loss (Thu May 14 22:09:10 2026) ================
[Rank 0] (epoch: 1, iters: 20500, time: 0.023, data: 0.002) , G_GAN: 1.130, G_L1: 25.636, D_real: 0.730, D_fake: 0.454

[Rank 0] (epoch: 1, iters: 21000, time: 0.023, data: 0.002) , G_GAN: 1.752, G_L1: 16.447, D_real: 0.643, D_fake: 0.162

[Rank 0] (epoch: 1, iters: 21500, time: 0.023, data: 0.002) , G_GAN: 1.197, G_L1: 19.974, D_real: 1.345, D_fake: 0.196

[Rank 0] (epoch: 1, iters: 22000, time: 0.027, data: 0.002) , G_GAN: 1.668, G_L1: 18.736, D_real: 0.070, D_fake: 0.277

[Rank 0] (epoch: 1, iters: 22500, time: 0.024, data: 0.002) , G_GAN: 0.900, G_L1: 16.392, D_real: 0.829, D_fake: 0.482

[Rank 0] (epoch: 1, iters: 23000, time: 0.024, data: 0.002) , G_GAN: 1.195, G_L1: 14.619, D_real: 0.235, D_fake: 0.428

[Rank 0] (epoch: 1, iters: 23500, time: 0.024, data: 0.002) , G_GAN: 0.348, G_L1: 19.805, D_real: 1.082, D_fake: 0.807

[Rank 0] (epoch: 1, iters: 24000, time: 0.026, data: 0.002) , G_GAN: 1.462, G_L1: 17.767, D_real: 0.116, D_fake: 0.338

[Rank 0] (epoch: 1, iters: 24500, time: 0.024, data: 0.002) , G_GAN: 0.544, G_L1: 22.344, D_real: 1.532, D_fake: 0.520

[Rank 0] (epoch: 1, iters: 25000, time: 0.024, data: 0.002) , G_GAN: 0.343, G_L1: 15.349, D_real: 1.380, D_fake: 0.215

[Rank 0] (epoch: 1, iters: 25500, time: 0.024, data: 0.002) , G_GAN: 2.096, G_L1: 21.900, D_real: 0.089, D_fake: 1.288

[Rank 0] (epoch: 1, iters: 26000, time: 0.027, data: 0.002) , G_GAN: 3.241, G_L1: 34.444, D_real: 0.014, D_fake: 0.047

[Rank 0] (epoch: 1, iters: 26500, time: 0.024, data: 0.002) , G_GAN: 1.828, G_L1: 19.454, D_real: 0.017, D_fake: 1.126

[Rank 0] (epoch: 1, iters: 27000, time: 0.024, data: 0.002) , G_GAN: 1.804, G_L1: 23.824, D_real: 0.011, D_fake: 0.476

[Rank 0] (epoch: 1, iters: 27500, time: 0.024, data: 0.002) , G_GAN: 2.281, G_L1: 24.663, D_real: 0.017, D_fake: 0.364

[Rank 0] (epoch: 1, iters: 28000, time: 0.026, data: 0.002) , G_GAN: 2.069, G_L1: 22.042, D_real: 0.004, D_fake: 0.250

[Rank 0] (epoch: 1, iters: 28500, time: 0.024, data: 0.002) , G_GAN: 1.667, G_L1: 17.772, D_real: 0.151, D_fake: 1.785

[Rank 0] (epoch: 1, iters: 29000, time: 0.024, data: 0.002) , G_GAN: 2.601, G_L1: 21.078, D_real: 0.034, D_fake: 0.213

[Rank 0] (epoch: 1, iters: 29500, time: 0.023, data: 0.002) , G_GAN: 1.400, G_L1: 16.865, D_real: 0.301, D_fake: 0.110

[Rank 0] (epoch: 1, iters: 30000, time: 0.027, data: 0.002) , G_GAN: 2.368, G_L1: 21.234, D_real: 0.280, D_fake: 0.117

[Rank 0] (epoch: 1, iters: 30500, time: 0.024, data: 0.002) , G_GAN: 1.953, G_L1: 29.992, D_real: 0.256, D_fake: 0.192

[Rank 0] (epoch: 1, iters: 31000, time: 0.024, data: 0.002) , G_GAN: 2.397, G_L1: 26.158, D_real: 0.640, D_fake: 0.074

[Rank 0] (epoch: 1, iters: 31500, time: 0.024, data: 0.002) , G_GAN: 1.652, G_L1: 25.969, D_real: 0.479, D_fake: 0.622

[Rank 0] (epoch: 1, iters: 32000, time: 0.026, data: 0.002) , G_GAN: 2.216, G_L1: 25.159, D_real: 0.055, D_fake: 0.171

[Rank 0] (epoch: 1, iters: 32500, time: 0.024, data: 0.002) , G_GAN: 1.063, G_L1: 11.664, D_real: 1.042, D_fake: 0.329

[Rank 0] (epoch: 1, iters: 33000, time: 0.024, data: 0.002) , G_GAN: 0.891, G_L1: 14.176, D_real: 1.559, D_fake: 0.122

[Rank 0] (epoch: 1, iters: 33500, time: 0.023, data: 0.002) , G_GAN: 1.862, G_L1: 15.730, D_real: 0.373, D_fake: 0.289

[Rank 0] (epoch: 1, iters: 34000, time: 0.026, data: 0.002) , G_GAN: 1.495, G_L1: 17.127, D_real: 0.403, D_fake: 0.431

[Rank 0] (epoch: 1, iters: 34500, time: 0.024, data: 0.002) , G_GAN: 1.819, G_L1: 24.265, D_real: 0.012, D_fake: 0.988

[Rank 0] (epoch: 1, iters: 35000, time: 0.024, data: 0.002) , G_GAN: 1.353, G_L1: 32.909, D_real: 0.060, D_fake: 1.969

[Rank 0] (epoch: 1, iters: 35500, time: 0.024, data: 0.002) , G_GAN: 2.185, G_L1: 29.114, D_real: 0.031, D_fake: 0.272

[Rank 0] (epoch: 1, iters: 36000, time: 0.027, data: 0.002) , G_GAN: 0.662, G_L1: 18.988, D_real: 0.086, D_fake: 1.551

[Rank 0] (epoch: 1, iters: 36500, time: 0.024, data: 0.002) , G_GAN: 1.594, G_L1: 30.818, D_real: 0.158, D_fake: 0.510

[Rank 0] (epoch: 1, iters: 37000, time: 0.023, data: 0.002) , G_GAN: 2.219, G_L1: 24.020, D_real: 0.019, D_fake: 0.266

[Rank 0] (epoch: 1, iters: 37500, time: 0.024, data: 0.002) , G_GAN: 1.788, G_L1: 27.208, D_real: 0.106, D_fake: 0.428

[Rank 0] (epoch: 1, iters: 38000, time: 0.028, data: 0.002) , G_GAN: 1.183, G_L1: 12.763, D_real: 0.419, D_fake: 0.375

[Rank 0] (epoch: 1, iters: 38500, time: 0.024, data: 0.002) , G_GAN: 1.384, G_L1: 17.651, D_real: 0.675, D_fake: 0.179

[Rank 0] (epoch: 1, iters: 39000, time: 0.024, data: 0.002) , G_GAN: 1.229, G_L1: 14.353, D_real: 0.196, D_fake: 0.894

